Date,Open,High,Low,Close,Volume
05/27/2021,118.47332287279623,118.47332287279623,116.84726630527486,117.16563415527344,35224000
05/28/2021,117.74780349844944,117.82962388795198,116.67814548675338,116.87650299072266,21482000
06/01/2021,117.74881041841671,118.3076907432192,116.74907000230994,118.08304595947266,23354000
06/02/2021,118.47826328360749,118.70092552390956,116.65384186131058,117.55787658691406,21158000
06/03/2021,116.3250761646754,116.88494774617168,115.52121891925472,116.41681671142578,18696000
06/04/2021,117.49241971560096,118.96822109902912,117.15222909034824,118.69745635986328,24458000
06/07/2021,118.49265941789501,119.2399846738455,118.07412155900927,119.13038635253906,24120000
06/08/2021,119.61191557625074,119.98433347180782,118.75747389251524,118.93897247314453,24240000
06/09/2021,119.58314905326921,119.65504930518125,118.86260289582098,119.41007995605469,17942000
06/10/2021,119.35949314078805,120.801576684723,119.20378241102719,120.75843048095703,25904000
06/11/2021,120.999943051101,121.08523664008776,119.95656455587336,120.51396179199219,21958000
06/14/2021,120.61610768688743,121.44227956527116,119.90895486343989,121.44178771972656,22098000
06/15/2021,121.44624178709292,121.76907406138305,120.06367156009478,120.4241943359375,21562000
06/16/2021,120.5754393849675,120.88686840654948,118.49067266185558,119.7824935913086,26472000
06/17/2021,119.7081134975645,121.51815047385836,119.51223033742086,120.74553680419922,25842000
06/18/2021,120.37212004101573,120.60618554839238,119.03120533837755,119.12641906738281,46116000
06/21/2021,119.51272322906476,120.99992784761416,118.91565304746868,120.81396484375,27414000
06/22/2021,120.75198899495656,121.39666231815684,120.07161525109758,121.32772827148438,22390000
06/23/2021,121.09266658134959,122.08645184131146,120.83579457394919,121.12589263916016,19148000
06/24/2021,121.69418422787221,122.04676934961249,121.29746921451058,121.4958267211914,21362000
06/25/2021,120.99993398696205,121.62774832820787,120.5685022175003,121.50426483154297,34594000
06/28/2021,121.67288132884134,121.77851462630447,120.41032128479314,121.53155517578125,28526000
06/29/2021,121.66493508583213,122.01256393063309,120.69346452054683,121.27019500732422,23108000
06/30/2021,120.99447687115277,121.2548296268427,120.35972373185534,121.08869934082031,24474000
07/01/2021,120.72718855138434,121.58212203987887,120.53527798763021,121.4407958984375,18110000
07/02/2021,122.14052074770464,124.3760421604454,122.05076271213034,124.23074340820312,25982000
07/06/2021,124.61852879829608,125.39164190205774,123.56126516970392,125.15559387207031,26404000
07/07/2021,126.11963498147594,126.24062899525266,125.11890325477182,125.43727111816406,24060000
07/08/2021,123.0093289727932,124.56595957690325,123.005363941043,124.01898193359375,23790000
07/09/2021,124.00013909575392,124.70381872081973,123.53051741103474,124.48959350585938,18632000
07/12/2021,125.14369092382793,126.02788545144588,124.581337423186,125.93465423583984,17668000
07/13/2021,125.99713556323269,127.00777981268853,125.63612092477611,126.29765319824219,19240000
07/14/2021,126.90908636567568,128.266375645742,126.86594016488215,127.18579864501953,23742000
07/15/2021,127.59443383506836,127.64501069030976,125.49280054236102,125.96390533447266,24218000
07/16/2021,126.61651165592089,126.763792905859,125.11938685402984,125.92919158935547,20424000
07/19/2021,125.05590815567551,125.17046276091699,122.49259090531656,123.55680084228516,27968000
07/20/2021,124.49851812065599,126.00159811872851,123.33117189440424,125.17493438720703,26312000
07/21/2021,125.09956240900131,126.55007557282694,124.99046349148195,126.50346374511719,20746000
07/22/2021,126.79603176039008,127.42979365327596,126.45385860301083,127.36878967285156,14302000
07/23/2021,129.36131958948965,132.3054917449223,128.73649417322727,131.9246368408203,41506000
07/26/2021,132.2355886482273,133.13663460885186,131.2169991619108,132.93629455566406,30572000
07/27/2021,133.1500131960715,133.29729444563313,129.0375036233096,130.8187713623047,54710000
07/28/2021,135.19463941441848,137.1633688639406,134.1686191476069,134.97842407226562,95130000
07/29/2021,135.03393383670254,135.54074659888502,134.43191491467985,134.66448974609375,31716000
07/30/2021,133.92807412606015,134.19536566595704,133.1544692717714,133.62210083007812,25576000
08/02/2021,134.00942969336194,134.22712811804664,132.69727646334016,133.74908447265625,21634000
08/03/2021,134.02726631580427,134.61937271017896,132.22665752851483,134.51821899414062,20762000
08/04/2021,134.24000035779645,134.53754419070725,133.38456751331833,134.01783752441406,19676000
08/05/2021,134.56827929751879,135.2323009960872,133.74061681615711,135.1345977783203,17870000
08/06/2021,134.92681801926122,135.35378528959424,134.10163752154108,134.62579345703125,20488000
08/09/2021,134.82817610727474,136.05950030562684,134.23010694814005,135.79071044921875,17760000
08/10/2021,136.21618040832792,136.64316290986423,135.2466997947702,135.68557739257812,19414000
08/11/2021,136.05700947405194,136.55389460315365,135.15446522499255,135.1619110107422,15352000
08/12/2021,134.86087941942685,136.17453085667606,134.3153999728154,136.06939697265625,16506000
08/13/2021,136.12493157350525,136.72646625528014,135.90971509193332,136.5985107421875,15948000
08/16/2021,136.39766610111587,137.22830997813796,134.18991525462013,137.1757354736328,22384000
08/17/2021,136.62083810095478,137.13211535901215,134.96651172789996,135.541259765625,21716000
08/18/2021,135.38106359666662,135.98061569212976,134.21222682101478,134.33868408203125,19258000
08/19/2021,133.33350458588953,135.234782779033,133.1495240793781,134.5677947998047,21782000
08/20/2021,134.8851768373789,136.42643919078785,134.1413247592316,136.30296325683594,31194000
08/23/2021,136.83853312618544,139.71971902868404,136.47950099945666,138.8935546875,28454000
08/24/2021,139.45886528917006,140.9153334065435,139.1881081082897,140.10354614257812,19268000
08/25/2021,140.46407912749783,141.02395074867366,140.21712723901703,140.9143524169922,15848000
08/26/2021,140.58805446280763,141.2500786299819,140.19827061437374,140.28109741210938,20610000
08/27/2021,140.49133697664018,143.3278934785733,140.3371093469741,142.8235626220703,28780000
08/30/2021,143.2163138187646,144.77395084299167,142.98125704674328,143.40525817871094,24434000
08/31/2021,143.9571917138558,143.98148131585134,143.0982932268432,143.51136779785156,22448000
09/01/2021,143.8113978553602,145.05511631686906,143.69585198821633,144.02513122558594,21936000
09/02/2021,144.02564581736442,144.32665531830855,142.0112884210009,142.11245727539062,32342000
09/03/2021,141.90763889729274,142.9733244158988,141.23320515681903,142.5612335205078,19850000
09/07/2021,142.65545041675884,143.37996157191282,142.44171705325797,143.09779357910156,20124000
09/08/2021,142.91879692732815,143.2163256757529,141.8278077374024,142.5131378173828,18344000
09/09/2021,142.66140907531098,143.12755759724692,142.0038493948319,142.36436462402344,15314000
09/10/2021,143.03035897692502,143.5322230716602,139.5843526495749,139.72122192382812,36840000
09/13/2021,140.7859154673757,141.77821775342676,140.09215589506022,141.16578674316406,22094000
09/14/2021,141.8233140691481,142.18780941142742,140.58802520414704,141.37600708007812,19674000
09/15/2021,141.60116132377672,143.2663989340108,140.18883824930154,143.24557495117188,27408000
09/16/2021,142.77050902430236,143.1171466443425,141.23421048693598,142.43280029296875,26190000
09/17/2021,141.8580435231661,142.27409944382737,139.31853152816512,139.6458282470703,53384000
09/20/2021,137.028942390243,137.86056989011584,135.2045285382964,137.58236694335938,46518000
09/21/2021,138.60394429145055,138.86380522550456,137.1445098358899,137.89332580566406,25332000
09/22/2021,138.16208194134197,139.73209820488628,137.41574800022835,139.133544921875,25056000
09/23/2021,139.83179860304818,140.534986416547,139.25060362210317,140.0584259033203,20952000
09/24/2021,139.38648419130865,141.16380230179908,139.09142223509036,141.0492401123047,22984000
09/27/2021,139.6502641264757,140.7749708625118,138.91930614388005,139.9155731201172,21882000
09/28/2021,137.5184232831249,137.95630206318702,134.25043470064762,134.71658325195312,45772000
09/29/2021,135.8571164274214,136.02671987866174,132.76766100224003,133.2521514892578,30848000
09/30/2021,133.16094144275186,134.43143155227392,132.46121921545426,132.58023071289062,37996000
10/01/2021,133.3453939422307,135.7882166913334,132.97396732571667,135.42372131347656,35360000
10/04/2021,134.84597552340657,134.84597552340657,129.97573673510337,132.5638427734375,51202000
10/05/2021,132.94224164734214,136.09964809191845,132.94224164734214,134.90798950195312,32404000
10/06/2021,133.64542025587158,136.62082849904496,133.44706273306846,136.43734741210938,24364000
10/07/2021,137.75347740127893,138.89405973958108,137.51445558203253,138.08375549316406,25110000
10/08/2021,138.4328463076523,139.1806633910254,138.07629612988345,138.6396484375,26526000
10/11/2021,138.15019117218512,139.55854921153343,137.72072679461957,137.77528381347656,17954000
10/12/2021,138.33665033617203,138.3634370023765,134.64714270868552,135.33050537109375,36332000
10/13/2021,136.27619065855683,136.86879650740957,135.39993366753524,136.4542236328125,19654000
10/14/2021,138.33068721492134,140.17890644011712,137.68700521186503,139.9939422607422,31894000
10/15/2021,140.4536525487432,140.55630449662968,139.60120099035484,140.20916748046875,30274000
10/18/2021,139.92006032333015,141.62546275603327,139.9131139513097,141.60760498046875,20396000
10/19/2021,142.21211472454237,142.4848695628123,141.43107913400408,142.06285095214844,20164000
10/20/2021,142.16302664662172,142.36932937667234,140.21760340386373,140.6068878173828,23288000
10/21/2021,140.6068703781535,140.99070660858933,139.34827557059145,140.72291564941406,26292000
10/22/2021,138.00935869132704,139.43061082473707,134.94072652552163,136.4388427734375,50588000
10/25/2021,136.42249557119888,136.8688038613959,134.31391552734996,136.32034301757812,34412000
10/26/2021,138.1219203768164,138.9346913152146,137.17078194335667,138.1665496826172,49236000
10/27/2021,138.26226450047915,147.4314763034353,138.26226450047915,145.0189208984375,85782000
10/28/2021,145.92839660361173,145.95170251359744,143.4414441362277,144.65342712402344,36206000
10/29/2021,143.8887552596137,147.02682046055673,143.46377046547764,146.83242797851562,43320000
11/01/2021,146.8324309481015,146.8324309481015,142.05143515277334,142.32070922851562,46924000
11/02/2021,143.3943518013393,145.4072108702752,143.15234864828975,144.2403564453125,33482000
11/03/2021,144.7045091916116,145.46671841466951,143.40574947129778,145.39630126953125,27494000
11/04/2021,145.918488091667,148.5061103237096,145.10868328164617,147.0521240234375,38412000
11/05/2021,147.94672303683166,149.0952354055238,146.9822063116092,147.6318359375,38354000
11/08/2021,148.59683920952253,149.38037183168208,147.21376959274264,147.80935668945312,23052000
11/09/2021,148.00970530712945,148.60627612949312,146.03799485146035,147.69778442382812,19530000
11/10/2021,146.29090824279103,146.85624308458767,143.35269859682205,144.69757080078125,29970000
11/11/2021,145.28870535866426,146.32613634452161,144.40698511974696,144.57162475585938,16518000
11/12/2021,145.41365059304397,147.62984607624279,144.21902587009922,147.45924377441406,22360000
11/15/2021,147.67991725355816,148.32359927216987,146.36528227383033,147.23509216308594,23508000
11/16/2021,146.93509022325514,147.5430567260628,146.10494573454355,146.66383361816406,18904000
11/17/2021,146.8140636628539,147.34170037420662,146.033028153426,146.83340454101562,19594000
11/18/2021,147.026320462845,149.3461514524102,146.67225222682112,148.6102294921875,35608000
11/19/2021,148.74610077592874,149.72898972518277,147.67843279309778,147.70570373535156,33682000
11/22/2021,148.10836700924503,148.60128697238446,144.94947812815403,145.1027069091797,30594000
11/23/2021,144.9549360689054,145.45778377770264,142.93364778882065,144.58697509765625,27218000
11/24/2021,144.2810105888424,145.0506504792178,143.18953724894834,144.92221069335938,18040000
11/26/2021,143.16521675032945,143.37250313576732,140.67976264069813,141.01747131347656,30470000
11/29/2021,142.81958339759728,145.098250620001,142.71395011842046,144.33753967285156,32596000
11/30/2021,143.81981989380787,144.80319311094968,140.44075042064517,140.7343292236328,42068000
12/01/2021,142.8195956469263,144.75410739029755,139.75691130496085,139.895263671875,34020000
12/02/2021,140.09213056944827,142.68520065080236,139.06511173639353,141.7940673828125,29194000
12/03/2021,142.5032312136305,143.21633168228553,139.15093259281727,140.83749389648438,41230000
12/06/2021,141.86797350092726,142.67331391025607,139.00116443543868,141.98153686523438,30618000
12/07/2021,144.40301145252772,146.32166315012472,144.0370329543183,146.0623016357422,32240000
12/08/2021,146.38661124962783,147.17659085728474,145.20587927665102,146.97177124023438,24270000
12/09/2021,146.38115719853195,147.87779015183264,145.90906116663706,146.4282684326172,23270000
12/10/2021,147.48109073076458,147.7563124081406,145.5014499291834,146.78831481933594,24458000
12/13/2021,146.5700951293805,146.75705697342113,144.32466128723686,144.63113403320312,27070000
12/14/2021,142.78784526013442,143.29564167577516,140.05740665054037,142.7273406982422,38446000
